Generic Comment 
0.0        Start Time
2.29576        Stop Time 
1.94288e-06        Init Del t
0.0 0.00540724394445 159.35474276
1.94288e-06 55243428133.3 119.901038202
8.54165e-06 24645437480.1 36.1264287615
2.05151e-05 15914850929.7 18.8052585039
3.74056e-05 11841868413.3 12.086784402
5.91493e-05 9443643236.58 8.61490089785
8.57416e-05 7852706340.61 6.53585522532
0.000117214 6713810215.36 5.1688756128
0.000153621 5853053299.9 4.20864501922
0.000195038 5178521818.01 3.5033194491
0.000241559 4633275208.72 2.96543779983
0.000293292 4183772037.12 2.54493039041
0.000350366 3804086450.48 2.20679035085
0.000412921 3481612431.03 1.93246657808
0.000481109 3200154156.87 1.7031305583
0.000555105 2954438053.16 1.51094986588
0.000635098 2737538775.95 1.34777334799
0.000721292 2544551206.94 1.20788162222
0.000813902 2370967551.58 1.08651148775
0.000913174 2214232152.4 0.980646840969
0.00101937 2071098062.82 0.88717123821
0.00113276 1941607965.02 0.805335080336
0.00125365 1822236370.69 0.732263920257
0.00138237 1712385486.36 0.667096014084
0.00151927 1611085159.99 0.608816156684
0.00166473 1516777589.33 0.556177180357
0.00181917 1428920533.17 0.508584717913
0.00198302 1347198716.2 0.465606716935
0.00215677 1270685715.62 0.426531353359
0.00234094 1199127911.99 0.391034587874
0.00253611 1131618051.88 0.358497853631
0.00274287 1068260084.08 0.328830844592
0.00296191 1008164686.53 0.301495856179
0.00319397 951791547.53 0.276576111603
0.00343982 898115121.92 0.253530955108
0.00370035 847504778.992 0.232418229776
0.00397654 799235710.313 0.212858414156
0.00426941 753370990.378 0.194814913642
0.00458015 709915853.75 0.178215719499
0.00491003 668570350.789 0.162885531771
0.00526049 628822101.816 0.1485858953
0.00563307 591219300.345 0.135467910383
0.00602964 555318433.286 0.123324994581
0.00645205 520929786.159 0.11205562738
0.00690261 488170199.181 0.101660399018
0.0073838 456799711.799 0.0920253940329
0.00789835 426785361.64 0.0831122471158
0.00844957 398071473.822 0.074873739423
0.00904114 370724226.156 0.0672968857725
0.00967715 344192616.844 0.0602093373863
0.0103625 319127493.112 0.0537580038905
0.0111027 294983474.467 0.0477790949225
0.0119043 272106492.654 0.0423344081434
0.012775 250112231.524 0.037311562706
0.0137237 229098384.279 0.0327125063876
0.0147612 209091507.352 0.0285259656894
0.0159001 190038709.802 0.0247207171513
0.0171562 171875150.651 0.0212658324307
0.0185482 154688360.166 0.0181604261745
0.0200996 138399002.3 0.0153719173807
0.0218391 122974929.578 0.0128779951458
0.0238041 108483759.58 0.010672816138
0.0260413 94837116.7667 0.00872610127393
0.0286125 82096917.6417 0.00703047260937
0.0315994 70251829.9189 0.00556732592002
0.0351137 59285967.1983 0.00431797434864
0.0393103 49223274.3121 0.00326848243407
0.0443844 40119725.6629 0.00240663820296
0.0502071 32456257.2217 0.00175235620249
0.0567625 26174560.1086 0.00127002162006
0.0641475 21042088.1717 0.000916110486826
0.0724675 16876007.8425 0.00065849628224
0.0818406 13505115.8026 0.000471767005285
0.0924028 10784587.457 0.000336914120337
0.104299 8599047.03328 0.000240070043341
0.117705 6843234.4002 0.000170571578997
0.132809 5439220.55945 0.000120969954769
0.14983 4319575.79589 8.5683313136e-05
0.169003 3424808.37892 6.05416399963e-05
0.190598 2714114.54043 4.27475139991e-05
0.214915 2150215.74707 3.01685321788e-05
0.242309 1701674.53581 2.12576871802e-05
0.273175 1345646.96281 1.49612905142e-05
0.307923 1063829.59589 1.0525729441e-05
0.347069 840735.866293 7.40119955319e-06
0.391134 664305.301039 5.20277874232e-06
0.440796 524630.539201 3.65465584202e-06
0.496748 414168.155226 2.56570668148e-06
0.559694 326961.793581 1.80122180299e-06
0.630552 258083.404058 1.26428453059e-06
0.710367 203658.836396 8.87035484035e-07
0.800228 160695.88472 6.22267624682e-07
0.901323 126806.993147 4.36580703695e-07
1.01498 100089.671864 3.06421962011e-07
1.1428 79011.4000021 2.15098948273e-07
1.28584 62448.0804944 1.51269106073e-07
1.44563 49427.5328138 1.06613065449e-07
1.62426 39167.6272607 7.52703777071e-08
1.82383 31073.1937279 5.32327532819e-08
2.04682 24677.3308305 3.77033610586e-08
2.29576 19619.2241356 2.67470547899e-08
