  0.00000E+00  4.67475E-05  7.36106E-02 -3.01131E-06
  1.00000E-02  4.67482E-05  7.36091E-02  1.20854E-04
  2.00000E-02  4.67469E-05  7.36064E-02  1.82936E-04
  3.00000E-02  4.67467E-05  7.36033E-02  2.56837E-04
  4.00000E-02  4.67499E-05  7.36003E-02  2.77651E-04
  5.00000E-02  4.67721E-05  7.35977E-02  2.56600E-04
  6.00000E-02  4.68139E-05  7.35956E-02  2.59558E-04
  7.00000E-02  4.68775E-05  7.35938E-02  2.90894E-04
  8.00000E-02  4.69417E-05  7.35926E-02  2.99808E-04
  9.00000E-02  4.69966E-05  7.35919E-02  3.37964E-04
  1.00000E-01  4.70365E-05  7.35917E-02  4.95234E-04
  1.10000E-01  4.70667E-05  7.35918E-02  7.32103E-04
  1.20000E-01  4.71890E-05  7.35920E-02  1.06551E-03
  1.30000E-01  4.78936E-05  7.35921E-02  1.45053E-03
  1.40000E-01  4.98018E-05  7.35919E-02  1.88029E-03
  1.50000E-01  5.27049E-05  7.35916E-02  2.32145E-03
  1.60000E-01  5.63156E-05  7.35912E-02  2.65619E-03
  1.70000E-01  6.04565E-05  7.35907E-02  2.97816E-03
  1.80000E-01  6.49202E-05  7.35902E-02  3.29892E-03
  1.90000E-01  6.98833E-05  7.35892E-02  3.57349E-03
  2.00000E-01  7.53069E-05  7.35884E-02  3.79926E-03
  2.10000E-01  8.12082E-05  7.35878E-02  3.99248E-03
  2.20000E-01  8.78119E-05  7.35872E-02  4.11644E-03
  2.30000E-01  9.49354E-05  7.35872E-02  4.38032E-03
  2.40000E-01  1.03160E-04  7.35870E-02  4.81380E-03
  2.50000E-01  1.12327E-04  7.35866E-02  5.32516E-03
  2.60000E-01  1.22929E-04  7.35858E-02  5.70415E-03
  2.70000E-01  1.35297E-04  7.35852E-02  5.98506E-03
  2.80000E-01  1.50064E-04  7.35850E-02  6.21771E-03
  2.90000E-01  1.67147E-04  7.35849E-02  6.46707E-03
  3.00000E-01  1.87643E-04  7.35847E-02  6.74559E-03
  3.10000E-01  2.12311E-04  7.35847E-02  7.04246E-03
  3.20000E-01  2.41802E-04  7.35846E-02  7.35037E-03
  3.30000E-01  2.77198E-04  7.35846E-02  7.67131E-03
  3.40000E-01  3.19129E-04  7.35844E-02  7.96666E-03
  3.50000E-01  3.68669E-04  7.35843E-02  8.25341E-03
  3.60000E-01  4.26217E-04  7.35844E-02  8.59237E-03
  3.70000E-01  4.91838E-04  7.35844E-02  8.92336E-03
  3.80000E-01  5.65501E-04  7.35843E-02  9.26911E-03
  3.90000E-01  6.47958E-04  7.35835E-02  9.55097E-03
  4.00000E-01  7.35533E-04  7.35830E-02  9.97980E-03
  4.10000E-01  8.34020E-04  7.35828E-02  1.03947E-02
  4.20000E-01  9.34550E-04  7.35825E-02  1.06711E-02
  4.30000E-01  1.04988E-03  7.35827E-02  1.10842E-02
  4.40000E-01  1.15711E-03  7.35825E-02  1.15631E-02
  4.50000E-01  1.29932E-03  7.35827E-02  1.18996E-02
  4.60000E-01  1.40003E-03  7.35826E-02  1.22020E-02
  4.70000E-01  1.57999E-03  7.35824E-02  1.25323E-02
  4.80000E-01  1.67293E-03  7.35830E-02  1.28953E-02
  4.90000E-01  1.88454E-03  7.35828E-02  1.31310E-02
  5.00000E-01  1.99322E-03  7.35815E-02  1.35369E-02
  5.10000E-01  2.22227E-03  7.35807E-02  1.38961E-02
  5.20000E-01  2.34347E-03  7.35812E-02  1.41213E-02
  5.30000E-01  2.61303E-03  7.35812E-02  1.45902E-02
  5.40000E-01  2.74864E-03  7.35798E-02  1.48491E-02
  5.50000E-01  3.05071E-03  7.35795E-02  1.50486E-02
  5.60000E-01  3.21049E-03  7.35798E-02  1.51740E-02
  5.70000E-01  3.56065E-03  7.35742E-02  1.55164E-02
  5.80000E-01  3.74185E-03  7.35732E-02  1.55721E-02
  5.90000E-01  4.14746E-03  7.35729E-02  1.55748E-02
  6.00000E-01  4.35451E-03  7.35774E-02  1.59186E-02
  6.10000E-01  4.81616E-03  7.35785E-02  1.61431E-02
  6.20000E-01  5.05726E-03  7.35780E-02  1.62049E-02
  6.30000E-01  5.57156E-03  7.35853E-02  1.65872E-02
  6.40000E-01  5.84113E-03  7.35808E-02  1.67943E-02
  6.50000E-01  6.40626E-03  7.35921E-02  1.71900E-02
  6.60000E-01  6.71015E-03  7.35867E-02  1.73997E-02
  6.70000E-01  7.34160E-03  7.35941E-02  1.77665E-02
  6.80000E-01  7.65486E-03  7.35903E-02  1.81149E-02
  6.90000E-01  8.33380E-03  7.35981E-02  1.84620E-02
  7.00000E-01  8.68233E-03  7.35992E-02  1.86156E-02
  7.10000E-01  9.43463E-03  7.36013E-02  1.85932E-02
  7.20000E-01  9.80741E-03  7.36089E-02  1.87776E-02
  7.30000E-01  1.06013E-02  7.36160E-02  1.91378E-02
  7.40000E-01  1.10066E-02  7.36117E-02  1.92160E-02
  7.50000E-01  1.18910E-02  7.36165E-02  1.94587E-02
  7.60000E-01  1.23347E-02  7.36117E-02  1.98322E-02
  7.70000E-01  1.32916E-02  7.36231E-02  2.00536E-02
  7.80000E-01  1.37889E-02  7.36277E-02  2.04624E-02
  7.90000E-01  1.48291E-02  7.36455E-02  2.04622E-02
  8.00000E-01  1.53612E-02  7.36570E-02  2.07712E-02
  8.10000E-01  1.65007E-02  7.36554E-02  2.11406E-02
  8.20000E-01  1.70959E-02  7.36701E-02  2.14788E-02
  8.30000E-01  1.83357E-02  7.36662E-02  2.17726E-02
