  0.00000E+00  2.16627E-05  2.04251E+01 -3.11776E-04
  1.00000E-03  2.16617E-05  2.04247E+01  1.44099E-03
  2.00000E-03  2.16613E-05  2.04240E+01  5.17069E-03
  3.00000E-03  2.16611E-05  2.04235E+01  1.40616E-02
  4.00000E-03  2.16619E-05  2.04235E+01  2.91684E-02
  5.00000E-03  2.16626E-05  2.04238E+01  4.82197E-02
  6.00000E-03  2.16668E-05  2.04242E+01  7.19609E-02
  7.00000E-03  2.16792E-05  2.04246E+01  9.67333E-02
  8.00000E-03  2.16955E-05  2.04251E+01  1.21180E-01
  9.00000E-03  2.17212E-05  2.04256E+01  1.39510E-01
  1.00000E-02  2.17422E-05  2.04260E+01  1.49063E-01
  1.10000E-02  2.17684E-05  2.04263E+01  1.52135E-01
  1.20000E-02  2.17848E-05  2.04265E+01  1.48599E-01
  1.30000E-02  2.18000E-05  2.04268E+01  1.40378E-01
  1.40000E-02  2.18074E-05  2.04272E+01  1.32538E-01
  1.50000E-02  2.18325E-05  2.04277E+01  1.28926E-01
  1.60000E-02  2.18859E-05  2.04282E+01  1.32896E-01
  1.70000E-02  2.21989E-05  2.04286E+01  1.44543E-01
  1.80000E-02  2.28451E-05  2.04289E+01  1.62615E-01
  1.90000E-02  2.37318E-05  2.04292E+01  1.87252E-01
  2.00000E-02  2.50487E-05  2.04292E+01  2.17190E-01
  2.10000E-02  2.63204E-05  2.04292E+01  2.43782E-01
  2.20000E-02  2.77892E-05  2.04292E+01  2.66170E-01
  2.30000E-02  2.93922E-05  2.04292E+01  2.84922E-01
  2.40000E-02  3.11131E-05  2.04291E+01  3.04250E-01
  2.50000E-02  3.28863E-05  2.04292E+01  3.31304E-01
  2.60000E-02  3.48700E-05  2.04295E+01  3.68327E-01
  2.70000E-02  3.70316E-05  2.04301E+01  4.13392E-01
  2.80000E-02  3.92360E-05  2.04306E+01  4.60519E-01
  2.90000E-02  4.16764E-05  2.04310E+01  4.97356E-01
  3.00000E-02  4.44406E-05  2.04312E+01  5.21894E-01
  3.10000E-02  4.71877E-05  2.04310E+01  5.42633E-01
  3.20000E-02  5.03976E-05  2.04307E+01  5.57950E-01
  3.30000E-02  5.40818E-05  2.04302E+01  5.71263E-01
  3.40000E-02  5.78564E-05  2.04300E+01  5.86405E-01
  3.50000E-02  6.24588E-05  2.04299E+01  5.99484E-01
  3.60000E-02  6.76172E-05  2.04298E+01  6.14540E-01
  3.70000E-02  7.32074E-05  2.04296E+01  6.33100E-01
  3.80000E-02  8.00784E-05  2.04292E+01  6.50025E-01
  3.90000E-02  8.72677E-05  2.04285E+01  6.66881E-01
  4.00000E-02  9.63594E-05  2.04281E+01  6.82126E-01
  4.10000E-02  1.05889E-04  2.04280E+01  6.95596E-01
  4.20000E-02  1.17992E-04  2.04277E+01  7.11715E-01
  4.30000E-02  1.30630E-04  2.04275E+01  7.28940E-01
  4.40000E-02  1.46303E-04  2.04275E+01  7.45311E-01
  4.50000E-02  1.63420E-04  2.04273E+01  7.56368E-01
  4.60000E-02  1.82088E-04  2.04275E+01  7.66874E-01
  4.70000E-02  2.05191E-04  2.04281E+01  7.77748E-01
  4.80000E-02  2.28163E-04  2.04291E+01  7.83622E-01
  4.90000E-02  2.54793E-04  2.04301E+01  7.92944E-01
  5.00000E-02  2.83438E-04  2.04306E+01  8.11845E-01
  5.10000E-02  3.13343E-04  2.04306E+01  8.35604E-01
  5.20000E-02  3.47279E-04  2.04312E+01  8.62615E-01
  5.30000E-02  3.80707E-04  2.04314E+01  8.88248E-01
  5.40000E-02  4.18461E-04  2.04312E+01  9.13043E-01
  5.50000E-02  4.55325E-04  2.04313E+01  9.28455E-01
  5.60000E-02  4.98073E-04  2.04302E+01  9.46814E-01
  5.70000E-02  5.37644E-04  2.04292E+01  9.68549E-01
  5.80000E-02  5.83455E-04  2.04288E+01  9.85091E-01
  5.90000E-02  6.29973E-04  2.04288E+01  1.00580E+00
  6.00000E-02  6.75785E-04  2.04285E+01  1.02774E+00
  6.10000E-02  7.27192E-04  2.04277E+01  1.05124E+00
  6.20000E-02  7.77840E-04  2.04278E+01  1.06830E+00
